AWND,PRCP,SNOW,TAVG,WSF2,dep_hour,delayed
10.07,0.0,0.0,50.0,18.1,7,0
10.07,0.0,0.0,50.0,18.1,17,0
10.07,0.0,0.0,50.0,18.1,9,1
10.07,0.0,0.0,50.0,18.1,18,0
10.07,0.0,0.0,50.0,18.1,10,0
10.07,0.0,0.0,50.0,18.1,17,0
10.07,0.0,0.0,50.0,18.1,8,1
10.07,0.0,0.0,50.0,18.1,10,1
10.07,0.0,0.0,50.0,18.1,6,1
10.07,0.0,0.0,50.0,18.1,10,0
10.07,0.0,0.0,50.0,18.1,18,0
10.07,0.0,0.0,50.0,18.1,6,1
10.07,0.0,0.0,50.0,18.1,13,1
10.07,0.0,0.0,50.0,18.1,16,0
10.07,0.0,0.0,50.0,18.1,12,0
10.07,0.0,0.0,50.0,18.1,7,1
10.07,0.0,0.0,50.0,18.1,12,0
10.07,0.0,0.0,50.0,18.1,7,0
10.07,0.0,0.0,50.0,18.1,8,0
10.07,0.0,0.0,50.0,18.1,8,0
10.07,0.0,0.0,50.0,18.1,16,0
10.07,0.0,0.0,50.0,18.1,22,1
10.07,0.0,0.0,50.0,18.1,19,0
10.07,0.0,0.0,50.0,18.1,7,0
10.07,0.0,0.0,50.0,18.1,12,0
10.07,0.0,0.0,50.0,18.1,18,0
10.07,0.0,0.0,50.0,18.1,8,0
10.07,0.0,0.0,50.0,18.1,23,1
10.07,0.0,0.0,50.0,18.1,19,1
10.07,0.0,0.0,50.0,18.1,8,0
10.07,0.0,0.0,50.0,18.1,18,0
10.07,0.0,0.0,50.0,18.1,14,0
10.07,0.0,0.0,50.0,18.1,11,0
10.07,0.0,0.0,50.0,18.1,7,1
10.07,0.0,0.0,50.0,18.1,17,0
10.07,0.0,0.0,50.0,18.1,10,0
10.07,0.0,0.0,50.0,18.1,17,0
10.07,0.0,0.0,50.0,18.1,7,0
10.07,0.0,0.0,50.0,18.1,8,0
10.07,0.0,0.0,50.0,18.1,8,0
10.07,0.0,0.0,50.0,18.1,19,1
10.07,0.0,0.0,50.0,18.1,19,0
10.07,0.0,0.0,50.0,18.1,7,0
10.07,0.0,0.0,50.0,18.1,8,1
10.07,0.0,0.0,50.0,18.1,14,1
10.07,0.0,0.0,50.0,18.1,17,0
10.07,0.0,0.0,50.0,18.1,18,0
10.07,0.0,0.0,50.0,18.1,17,0
10.07,0.0,0.0,50.0,18.1,7,1
10.07,0.0,0.0,50.0,18.1,15,0
10.07,0.0,0.0,50.0,18.1,11,1
10.07,0.0,0.0,50.0,18.1,11,0
10.07,0.0,0.0,50.0,18.1,15,0
10.07,0.0,0.0,50.0,18.1,19,0
